OrderID,CustomerID,ProductID,OrderDate,Quantity
1,202,17.0,2024-01-01,3.0
2,238,22.0,2024-01-08,9.0
3,142,7.0,2024-01-20,2.0
4,9,8.0,2024-01-15,4.0
5,25,8.0,2024-01-07,1.0
6,72,17.0,2024-01-19,5.0
7,165,8.0,2024-01-17,5.0
8,32,18.0,2024-01-21,10.0
9,25,12.0,2024-01-14,7.0
10,95,25.0,2024-01-10,9.0
11,238,2.0,2024-01-17,9.0
12,105,11.0,2024-01-03,2.0
13,27,9.0,2024-01-28,7.0
14,287,7.0,10-01-2024,8.0
15,98,24.0,2024-01-08,2.0
16,204,8.0,2024-01-15,9.0
17,134,12.0,2024-01-26,9.0
18,164,7.0,2024-01-28,6.0
19,134,18.0,2024-01-05,10.0
20,292,8.0,2024-01-11,8.0
21,252,15.0,2024-01-05,3.0
22,278,21.0,2024-01-03,1.0
23,4,14.0,2024-01-23,3.0
24,234,12.0,2024-01-20,1.0
25,9,1.0,2024-01-17,9.0
26,147,1.0,2024-01-26,9.0
27,50,17.0,2024-01-09,3.0
28,204,3.0,2024-01-08,6.0
29,42,21.0,2024-01-18,1.0
30,88,3.0,2024-01-11,8.0
31,49,17.0,2024-01-23,1.0
32,24,3.0,2024-01-02,5.0
33,9,7.0,2024-01-27,10.0
34,84,19.0,2024-01-22,4.0
35,72,23.0,2024-01-02,2.0
36,39,11.0,2024-01-13,10.0
37,140,15.0,2024-01-13,8.0
38,195,3.0,2024-01-03,10.0
39,79,24.0,2024-01-01,7.0
40,139,4.0,2024-01-18,3.0
41,14,3.0,2024-01-26,6.0
42,150,14.0,2024-01-18,7.0
43,293,17.0,2024-01-09,3.0
44,33,6.0,2024-01-26,7.0
45,127,24.0,04-01-2024,8.0
46,203,11.0,2024-01-15,10.0
47,70,10.0,2024-01-16,6.0
48,164,10.0,2024-01-11,8.0
49,202,12.0,2024-01-18,2.0
50,14,24.0,2024-01-26,8.0
51,210,22.0,2024-01-09,8.0
52,194,3.0,2024-01-13,8.0
53,215,18.0,2024-01-26,1.0
54,44,4.0,2024-01-21,4.0
55,205,25.0,2024-01-01,6.0
56,266,18.0,2024-01-12,10.0
57,257,5.0,2024-01-10,6.0
58,60,24.0,2024-01-26,3.0
59,244,4.0,2024-01-03,8.0
60,59,1.0,2024-01-06,6.0
61,265,6.0,2024-01-15,9.0
62,95,6.0,2024-01-07,7.0
63,3,23.0,2024-01-26,4.0
64,275,6.0,2024-01-09,6.0
65,161,20.0,2024-01-12,7.0
66,89,22.0,2024-01-22,5.0
67,157,4.0,2024-01-13,3.0
68,197,14.0,2024-01-21,3.0
69,86,16.0,2024-01-15,5.0
70,5,16.0,2024-01-18,3.0
71,252,14.0,2024-01-01,8.0
72,17,9.0,2024-01-15,4.0
73,254,18.0,2024-01-25,9.0
74,278,25.0,2024-01-07,1.0
75,127,10.0,2024-01-27,1.0
76,61,25.0,2024-01-23,4.0
77,220,6.0,2024-01-07,10.0
78,273,9.0,2024-01-23,10.0
79,264,22.0,2024-01-14,2.0
80,65,23.0,2024-01-27,3.0
81,202,16.0,2024-01-14,3.0
82,48,13.0,2024-01-12,9.0
83,298,1.0,2024-01-22,2.0
84,274,13.0,2024-01-16,4.0
85,173,18.0,2024-01-26,10.0
86,25,2.0,2024-01-01,2.0
87,226,15.0,2024-01-23,1.0
88,155,6.0,2024-01-03,5.0
89,85,2.0,2024-01-25,7.0
90,49,1.0,2024-01-08,4.0
91,5,23.0,2024-01-14,6.0
92,118,13.0,2024-01-11,2.0
93,196,25.0,03-01-2024,3.0
94,85,15.0,2024-01-05,6.0
95,227,7.0,2024-01-04,2.0
96,220,11.0,2024-01-08,3.0
97,146,25.0,2024-01-10,1.0
98,97,24.0,2024-01-26,7.0
99,58,8.0,2024-01-01,8.0
100,68,13.0,2024-01-06,10.0
101,38,1.0,2024-01-02,10.0
102,204,17.0,2024-01-14,5.0
103,275,18.0,2024-01-03,10.0
104,80,18.0,2024-01-27,6.0
105,159,23.0,2024-01-02,7.0
106,60,15.0,2024-01-24,10.0
107,7,23.0,2024-01-12,3.0
108,133,6.0,2024-01-09,6.0
109,16,11.0,2024-01-23,7.0
110,255,15.0,2024-01-19,9.0
111,53,19.0,02-01-2024,2.0
112,24,16.0,2024/28/01,6.0
113,215,8.0,2024-01-11,6.0
114,191,4.0,2024-01-08,9.0
115,206,3.0,2024-01-10,8.0
116,5,12.0,2024-01-24,4.0
117,253,25.0,26-01-2024,4.0
118,210,1.0,2024-01-23,4.0
119,1,25.0,2024-01-04,7.0
120,215,16.0,2024-01-09,1.0
121,267,14.0,2024-01-19,6.0
122,202,3.0,2024-01-05,10.0
123,162,13.0,2024-01-03,6.0
124,300,4.0,2024-01-11,3.0
125,107,15.0,2024-01-03,5.0
126,21,7.0,12-01-2024,6.0
127,154,9.0,2024-01-15,3.0
128,49,15.0,2024-01-01,2.0
129,114,5.0,2024-01-21,4.0
130,133,3.0,2024-01-21,1.0
131,170,4.0,2024-01-19,1.0
132,255,1.0,2024-01-07,7.0
133,229,5.0,2024-01-21,1.0
134,282,16.0,2024-01-14,1.0
135,270,8.0,2024-01-26,9.0
136,249,12.0,2024/06/01,10.0
137,113,1.0,2024-01-17,5.0
138,120,6.0,2024-01-18,2.0
139,29,25.0,2024-01-13,4.0
140,89,6.0,2024-01-23,4.0
141,181,19.0,2024-01-27,10.0
142,253,18.0,2024-01-02,5.0
143,270,16.0,2024-01-26,1.0
144,166,2.0,2024-01-05,1.0
145,187,3.0,2024-01-19,6.0
146,70,6.0,2024-01-21,7.0
147,288,23.0,2024-01-19,10.0
148,151,5.0,2024-01-19,3.0
149,291,2.0,2024-01-20,3.0
150,255,5.0,2024-01-11,6.0
151,46,23.0,2024-01-08,6.0
152,56,24.0,2024-01-14,1.0
153,253,13.0,2024-01-16,6.0
154,116,6.0,2024/10/01,8.0
155,134,4.0,2024-01-06,2.0
156,48,11.0,2024/23/01,10.0
157,85,20.0,2024-01-07,7.0
158,284,24.0,2024-01-08,9.0
159,282,16.0,2024-01-03,
160,246,7.0,2024-01-10,2.0
161,60,10.0,2024-01-09,7.0
162,95,12.0,2024-01-09,7.0
163,138,19.0,2024-01-04,1.0
164,278,14.0,2024-01-13,10.0
165,275,22.0,2024-01-10,8.0
166,18,17.0,2024-01-22,10.0
167,230,6.0,2024/05/01,3.0
168,41,22.0,2024-01-05,7.0
169,35,3.0,2024-01-28,7.0
170,7,23.0,2024-01-04,10.0
171,299,25.0,2024-01-04,2.0
172,177,14.0,2024-01-20,5.0
173,207,5.0,2024-01-02,10.0
174,122,2.0,2024-01-01,8.0
175,160,9.0,2024-01-28,8.0
176,227,25.0,2024-01-21,6.0
177,209,24.0,2024-01-27,8.0
178,34,10.0,17-01-2024,9.0
179,99,7.0,2024-01-12,1.0
180,238,17.0,2024-01-01,7.0
181,229,6.0,2024-01-06,8.0
182,47,10.0,2024-01-19,1.0
183,114,21.0,2024-01-14,4.0
184,5,16.0,2024-01-01,3.0
185,157,23.0,2024-01-12,5.0
186,155,22.0,2024/04/01,9.0
187,192,18.0,2024-01-04,10.0
188,142,21.0,2024-01-23,6.0
189,97,5.0,2024-01-26,9.0
190,207,22.0,2024-01-21,6.0
191,215,13.0,2024-01-19,7.0
192,114,22.0,2024-01-22,9.0
193,88,22.0,2024-01-05,9.0
194,287,25.0,2024-01-21,3.0
195,158,14.0,2024-01-15,6.0
196,299,19.0,2024-01-17,10.0
197,272,10.0,2024-01-05,7.0
198,292,15.0,2024-01-25,3.0
199,91,,2024-01-25,1.0
200,82,16.0,2024-01-14,2.0
201,197,1.0,2024-01-01,1.0
202,272,7.0,2024-01-08,1.0
203,160,5.0,06-01-2024,2.0
204,149,15.0,2024-01-22,9.0
205,251,12.0,2024-01-26,4.0
206,68,7.0,2024-01-12,1.0
207,193,21.0,2024-01-20,5.0
208,11,2.0,2024-01-18,2.0
209,106,23.0,2024-01-22,1.0
210,71,14.0,2024-01-10,2.0
211,102,20.0,2024-01-07,4.0
212,83,2.0,16-01-2024,9.0
213,46,4.0,2024-01-03,10.0
214,52,9.0,2024-01-09,4.0
215,90,2.0,2024-01-14,5.0
216,24,1.0,2024-01-12,3.0
217,138,24.0,2024-01-04,2.0
218,140,13.0,2024-01-26,8.0
219,31,6.0,2024-01-26,2.0
220,195,25.0,2024-01-27,6.0
221,248,16.0,2024-01-03,2.0
222,269,25.0,2024-01-22,10.0
223,49,14.0,2024-01-21,4.0
224,286,20.0,2024-01-17,1.0
225,85,3.0,2024-01-09,8.0
226,194,13.0,2024-01-19,4.0
227,229,11.0,2024-01-01,2.0
228,286,18.0,2024-01-20,1.0
229,288,7.0,2024-01-02,8.0
230,170,18.0,2024-01-12,10.0
231,114,1.0,2024-01-26,6.0
232,55,2.0,2024-01-24,3.0
233,101,7.0,2024-01-15,2.0
234,174,4.0,2024-01-22,7.0
235,231,15.0,2024/16/01,10.0
236,25,18.0,2024-01-17,7.0
237,297,6.0,2024-01-20,3.0
238,197,14.0,2024-01-09,10.0
239,151,15.0,2024-01-24,3.0
240,281,11.0,2024-01-20,9.0
241,68,23.0,2024-01-11,3.0
242,288,16.0,2024-01-14,10.0
243,274,10.0,2024-01-01,7.0
244,29,7.0,2024-01-10,5.0
245,32,23.0,2024-01-12,5.0
246,288,8.0,2024-01-26,9.0
247,25,13.0,2024-01-22,7.0
248,7,24.0,2024-01-28,5.0
249,189,25.0,2024-01-25,10.0
